2023-11-02 21:12:43,286 INFO    MainThread:11478 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_setup.py:_flush():76] Configure stats pid to 11478
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_setup.py:_flush():76] Loading settings from /Users/brianliu03/.config/wandb/settings
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_setup.py:_flush():76] Loading settings from /Users/brianliu03/Documents/Projects/sentiment-analysis/wandb/settings
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_init.py:_log_setup():528] Logging user logs to /Users/brianliu03/Documents/Projects/sentiment-analysis/wandb/run-20231102_211243-flw6xggd/logs/debug.log
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_init.py:_log_setup():529] Logging internal logs to /Users/brianliu03/Documents/Projects/sentiment-analysis/wandb/run-20231102_211243-flw6xggd/logs/debug-internal.log
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_init.py:init():568] calling init triggers
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'learning_rate': 2e-05, 'architecture': 'Transformer', 'dataset': 'sst2', 'epochs': 2}
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_init.py:init():618] starting backend
2023-11-02 21:12:43,287 INFO    MainThread:11478 [wandb_init.py:init():622] setting up manager
2023-11-02 21:12:43,291 INFO    MainThread:11478 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-11-02 21:12:43,302 INFO    MainThread:11478 [wandb_init.py:init():628] backend started and connected
2023-11-02 21:12:43,306 INFO    MainThread:11478 [wandb_init.py:init():720] updated telemetry
2023-11-02 21:12:43,352 INFO    MainThread:11478 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-11-02 21:12:43,787 INFO    MainThread:11478 [wandb_run.py:_on_init():2220] communicating current version
2023-11-02 21:12:43,888 INFO    MainThread:11478 [wandb_run.py:_on_init():2229] got version response 
2023-11-02 21:12:43,888 INFO    MainThread:11478 [wandb_init.py:init():804] starting run threads in backend
2023-11-02 21:12:46,592 INFO    MainThread:11478 [wandb_run.py:_console_start():2199] atexit reg
2023-11-02 21:12:46,592 INFO    MainThread:11478 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-11-02 21:12:46,592 INFO    MainThread:11478 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-11-02 21:12:46,592 INFO    MainThread:11478 [wandb_run.py:_redirect():2144] Redirects installed.
2023-11-02 21:12:46,593 INFO    MainThread:11478 [wandb_init.py:init():845] run started, returning control to user process
